Date,Open,High,Low,Close,Adj Close,Volume
11/21/2018,378,391.5,346.5,382.5,382.5,3
11/23/2018,382.5,382.5,382.5,382.5,382.5,0
11/26/2018,387,387,387,387,387,0
11/27/2018,319.5,328.5,265.5,328.5,328.5,2
11/28/2018,297,297,297,297,297,0
11/29/2018,297,297,297,297,297,0
11/30/2018,355.5,355.5,355.5,355.5,355.5,0
12/3/2018,355.5,355.5,355.5,355.5,355.5,0
12/4/2018,283.5,319.5,283.5,319.5,319.5,0
12/6/2018,310.5,310.5,292.5,292.5,292.5,0
12/7/2018,328.5,328.5,328.5,328.5,328.5,0
12/10/2018,265.5,342,265.5,342,342,1
12/11/2018,342,342,342,342,342,0
12/12/2018,342,342,342,342,342,0
12/13/2018,342,342,342,342,342,0
12/14/2018,301.5,301.5,247.5,247.5,247.5,0
12/17/2018,270,270,234,234,234,2
12/18/2018,234,234,234,234,234,0
12/19/2018,198,198,198,198,198,0
12/20/2018,220.5,220.5,220.5,220.5,220.5,1
12/21/2018,220.5,220.5,220.5,220.5,220.5,0
12/24/2018,157.5,157.5,157.5,157.5,157.5,0
12/26/2018,135,135,135,135,135,0
12/27/2018,148.5,148.5,148.5,148.5,148.5,0
12/28/2018,193.5,193.5,184.5,184.5,184.5,1
12/31/2018,184.5,184.5,184.5,184.5,184.5,0
1/2/2019,184.5,184.5,184.5,184.5,184.5,0
1/3/2019,274.5,274.5,274.5,274.5,274.5,0
1/4/2019,274.5,274.5,274.5,274.5,274.5,0
1/7/2019,274.5,274.5,274.5,274.5,274.5,0
1/8/2019,22.5,450,22.5,450,450,3
1/9/2019,495,495,405,409.5,409.5,2
1/10/2019,225,225,22.5,22.5,22.5,1
1/11/2019,22.5,22.5,22.5,22.5,22.5,0
1/14/2019,22.5,22.5,22.5,22.5,22.5,0
1/15/2019,22.5,22.5,22.5,22.5,22.5,0
1/16/2019,22.5,22.5,22.5,22.5,22.5,0
1/17/2019,22.5,22.5,22.5,22.5,22.5,0
1/18/2019,22.5,22.5,22.5,22.5,22.5,0
1/22/2019,450,450,450,450,450,1
1/23/2019,450,450,450,450,450,0
1/24/2019,405,405,405,405,405,1
1/25/2019,76.5,76.5,76.5,76.5,76.5,0
1/28/2019,76.5,76.5,76.5,76.5,76.5,0
1/29/2019,76.5,76.5,76.5,76.5,76.5,0
